Molecule ChEMBL ID,#RO5 Violations,label,smiles
CHEMBL4750575,1,1,COc1ccc2[nH]c3c([N+](=O)[O-])ccc(Nc4ccc(CN5CCCCC5)cc4)c3c(=O)c2c1
CHEMBL4744119,0,1,COc1cc(Nc2ccc([N+](=O)[O-])c3[nH]c4ccc(O)cc4c(=O)c23)cc(OC)c1
CHEMBL4760194,0,0,COc1ccc(Nc2ccc([N+](=O)[O-])c3[nH]c4ccc(O)cc4c(=O)c23)cc1OC
CHEMBL3427565,1,1,Oc1ccc(-c2ccc(-c3ccc(O)c(O)c3)c(O)c2O)cc1O
CHEMBL307856,0,1,COc1cc(-c2cc(=O)c3ccccc3o2)cc(OC)c1OC
CHEMBL3927251,0,1,O=c1c(-c2ccccc2)cnc2c(OCc3ccccc3)cccn12
CHEMBL3984427,0,1,Cc1ccc(-c2coc3ccccc3c2=O)cc1
CHEMBL242193,0,1,O=c1cc(-c2ccc(O)c(O)c2)nc2ccccn12
CHEMBL1802742,1,0,C/C(=N\OCCCN)c1ccc(Nc2c3ccccc3nc3occ(Cl)c23)cc1
CHEMBL2397608,1,1,CC/C(=C(\c1ccc(O)cc1)c1ccc(NC(=O)N(C)C)cc1)c1ccc(O)cc1
CHEMBL2385502,None,0,O=C(NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](NC(=O)OCc4ccccc4)C[C@H](NC(=O)OCc4ccccc4)[C@H]3O[C@H]3O[C@H](CNC(=O)OCc4ccccc4)[C@@H](O)[C@H](O)[C@H]3NC(=O)OCc3ccccc3)[C@@H]2O)[C@H](NC(=O)OCc2ccccc2)[C@@H](O)[C@@H]1O)OCc1ccccc1
CHEMBL2397613,1,0,CC/C(=C(/c1ccc(O)cc1)c1ccc(NC(=O)N2CCCC2)cc1)c1ccc(O)cc1
CHEMBL2397604,1,1,CC/C(=C(\c1ccc(O)cc1)c1ccc(NC(=O)C(C)C)cc1)c1ccc(O)cc1
CHEMBL2385500,3,0,O=C(Cc1ccccc1)NC[C@H]1O[C@H](O[C@@H]2[C@@H](NC(=O)Cc3ccccc3)C[C@@H](NC(=O)Cc3ccccc3)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](NC(=O)Cc4ccccc4)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL1689417,1,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](NC(=S)NC(=O)c3ccccc3I)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O
CHEMBL4214639,1,1,N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1
CHEMBL4211169,1,1,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)c(F)c2)SC1=S
CHEMBL4216142,1,0,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)SC1=S
CHEMBL4206525,1,1,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S
CHEMBL1643166,0,0,C[C@@H]1O[C@@H](OCC#Cc2c(-c3ccccc3)oc3ccccc23)C[C@H](N)[C@@H]1O
CHEMBL44657,2,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CHEMBL4224838,0,1,CC(C)NC(=N)c1ccc2nc(N3Cc4ccccc4C3=O)sc2c1
CHEMBL44657,2,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CHEMBL3780961,0,0,Cc1c2c[n+](C)ccc2cc2c1c1ccccc1n2C
CHEMBL311498,0,0,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
CHEMBL309490,0,0,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12
CHEMBL226335,3,0,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
CHEMBL13486,0,0,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)ccc12
CHEMBL1643166,0,0,C[C@@H]1O[C@@H](OCC#Cc2c(-c3ccccc3)oc3ccccc23)C[C@H](N)[C@@H]1O
CHEMBL1643172,1,0,Cc1ccc(S(=O)(=O)n2c(-c3ccccc3)c(C#CCO[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)c3ccccc32)cc1
CHEMBL2023526,3,1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](NCc2ccc(NC(=O)CCCCCCC(=O)NO)cc2)[C@H](O)[C@H](C)O1
CHEMBL1096926,0,1,CN(C)C(=S)N/N=C/c1ccc2ccccc2n1
CHEMBL3409135,0,1,O=c1cc2n(CCCN3CCCCC3)c3ccccc3nc-2c2ccccc12
CHEMBL3409141,0,1,COc1ccc2c(=O)cc3n(CCCN(C)C)c4ccccc4nc-3c2c1
CHEMBL1096926,0,0,CN(C)C(=S)N/N=C/c1ccc2ccccc2n1
CHEMBL215065,0,0,NC(=S)N/N=C/c1ccc2ccccc2n1
CHEMBL1097929,0,0,NC(=S)N/N=C/c1ccc2cccnc2n1
CHEMBL485032,0,1,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)[C@@H]2c3c(ccc4ccccc34)OC[C@@H]21
CHEMBL520503,0,0,C[C@H]1CC[C@H]2[C@H](C1)C1=C(OC2(C)C)c2ccccc2C(=O)C1=O
CHEMBL484935,0,0,C[C@@H]1CC[C@@H]2[C@@H](C1)C1=C(OC2(C)C)C(=O)c2ccccc2C1=O
CHEMBL485198,2,1,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)[C@H]2c3cc(Br)cc(Br)c3OC[C@H]21
CHEMBL520841,0,0,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)[C@@H]2c3cc(Br)ccc3OC[C@@H]21
CHEMBL4785791,0,1,CN1CCN(CCNc2ccc([N+](=O)[O-])c3[nH]c4ccc(O)cc4c(=O)c23)CC1
CHEMBL1802986,0,0,FC(F)(F)c1ccc2c(c1)[nH]c1cnccc12
CHEMBL483846,1,0,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@H]12
CHEMBL289191,1,0,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL1773345,1,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](OC(=O)NCCc3c[nH]c5ccccc35)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
CHEMBL446813,0,1,CNC(=S)N/N=C(\C)c1ccccn1
CHEMBL4064565,1,1,O=C1C(O)=C(C(c2ccc(Cl)cc2)c2c(O)c3ccccc3oc2=O)C(=O)c2ccccc21
CHEMBL3622556,0,1,O=[N+]([O-])c1ccc2oc(-c3ccc(O)c(O)c3)cc2c1
CHEMBL3622540,0,1,O=C(O)c1ccc2cc(-c3ccc(O)c(O)c3)ccc2c1
CHEMBL1765298,0,1,Cc1ccc(C2C3=C(Nc4[nH]c(=O)[nH]c(=O)c42)c2ccccc2C3=O)cc1C
CHEMBL1630373,None,0,CC[C@@]1(OC(=O)NCCNC(=O)CCCSSCCCC(=O)NCCNC(=O)O[C@]2(CC)C(=O)OCc3c2cc2n(c3=O)Cc3cc4ccccc4nc3-2)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
CHEMBL1643176,2,0,Cc1ccc(S(=O)(=O)n2c(-c3ccccc3)c(C#CCO[C@H]3CC[C@H](N)[C@H](C)O3)c3ccccc32)cc1
CHEMBL4066326,0,1,Nc1c2c(nc3ccc(Br)cc13)CC(C(F)(F)F)CC2=O
CHEMBL1630376,2,1,CC[C@@]1(OC(=O)NCCN2C(=O)CCSSCCC2=O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
CHEMBL4093659,0,0,Nc1c2c(nc3ccccc13)CC(C(F)(F)F)CC2=O
CHEMBL1929101,2,0,COc1cc2c(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL1929104,2,1,COc1cc2c(O[C@@H]3O[C@@H]4CO[C@@H](C)O[C@H]4[C@H](O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL601587,2,0,COc1cc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL1929098,2,0,COc1cc2c(O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL3759172,0,0,O=C1c2ccccc2-c2nc3c(CN4CCC(N5CCCCC5)CC4)cccc3nc21
CHEMBL3759407,0,0,CN(C)CCCO/N=C1\c2ccccc2-c2nc3c(CN4CCCC4)cccc3nc21
CHEMBL505932,2,1,COc1cc2c(O[C@@H]3O[C@H](C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL3600930,0,0,COc1ccc2c(c1)C(=O)N1CCc3c([nH]c4ccc(O)cc34)C1S2
CHEMBL3600932,0,0,O=C1c2ccccc2S(=O)(=O)C2c3[nH]c4ccc(O)cc4c3CCN12
CHEMBL3759065,0,0,O=Cc1cccc2nc3c(nc12)-c1ccccc1C3=O
CHEMBL221190,0,1,COc1cc2c(O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL458904,2,0,COc1cc2c(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
CHEMBL1929099,2,0,COC[C@H]1O[C@@H](Oc2c3c(c(-c4ccc5c(c4)OCO5)c4cc(OC)c(OC)cc24)C(=O)OC3)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL1914949,0,0,CC(C)(C)Nc1c(-c2ccc(Cl)cc2)nc2ccccn12
CHEMBL1914954,1,0,Cc1ccn2c(NC(C)(C)C)c(-c3ccc(Cl)cc3)nc2c1
CHEMBL1914956,1,1,CC(C)(C)Nc1c(-c2ccc(F)cc2)nc2ccc(Cl)cn12
CHEMBL1914464,0,1,CC(C)(C)Nc1c(-c2ccc(Cl)cc2)nc2ncccn12
CHEMBL1914964,0,0,COc1cccc(-c2nc3cnccn3c2NC(C)(C)C)c1
CHEMBL1914967,0,1,CCOC(=O)c1cnn2c(NC(C)(C)C)c(-c3ccc(Cl)cc3)[nH]c12
CHEMBL1914971,0,0,Nc1c(-c2ccccn2)nc2ccc(Cl)cn12
CHEMBL1914974,0,1,COc1ccc(-c2nc3cnccn3c2N)cc1
CHEMBL1914975,0,1,CCOC(=O)c1cnn2c(N)c(-c3ccc(Cl)cc3)[nH]c12
CHEMBL1914951,0,0,CC(C)(C)Nc1c(-c2ccc(C(=O)O)cc2)nc2ccccn12
CHEMBL3910987,0,1,COc1ccc(/C=C2\N=C3C=CC=CN3C2=O)cc1
CHEMBL479291,0,1,[O-]c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4
CHEMBL358035,0,1,CN(C)CCNc1ccc2c3c(nn2CCN(C)C)-c2cnccc2C(=O)c13
CHEMBL1630375,2,0,CC[C@@]1(OC(=O)NCCN2C(=O)CSSCC2=O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
CHEMBL1630376,2,0,CC[C@@]1(OC(=O)NCCN2C(=O)CCSSCCC2=O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
CHEMBL1671913,0,0,CN(C)CCNc1cc2cncnc2c2ccccc12
CHEMBL1914961,0,0,Clc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1
